fixture_id,timestamp,venue,api_home_team_id,api_away_team_id,home_score,away_score
710915,1651932000,565,71,48,,
710916,1652623200,495,66,52,,
710917,1652623200,8560,45,55,,
710918,1652623200,546,63,51,,
710919,1652623200,556,33,49,,
710920,1652623200,562,34,42,,
710921,1652623200,585,41,40,,
710922,1652623200,593,47,44,,
710923,1652623200,596,38,46,,
710924,1652623200,598,48,50,,
710925,1652623200,600,39,71,,
710926,1653231600,494,42,45,,
710927,1653231600,10503,55,63,,
710928,1653231600,508,51,48,,
710929,1653231600,512,44,34,,
710930,1653231600,519,49,38,,
710931,1653231600,525,52,33,,
710932,1653231600,547,46,41,,
710933,1653231600,550,40,39,,
710934,1653231600,555,50,66,,
710935,1653231600,565,71,47,,
