id,team,first_name,second_name,web_name,element_type,squad_number,photo
556,3,Álvaro,Fernández,Fernández,1,,240796.jpg
569,3,Finley,Stevens,Stevens,2,,450550.jpg
594,3,Mathias,Jorgensen,Zanka,2,,48760.jpg
614,3,Paris,Maghoma,Maghoma,3,,220695.jpg
619,3,Matthew,Cox,Cox,1,,503300.jpg
53,4,Adam,Lallana,Lallana,3,,39155.jpg
54,4,Jason,Steele,Steele,1,,49262.jpg
55,4,Pascal,Groß,Groß,3,,60307.jpg
56,4,Shane,Duffy,Duffy,2,,61933.jpg
57,4,Davy,Pröpper,Pröpper,3,,66242.jpg
58,4,Dan,Burn,Burn,2,,78916.jpg
59,4,Lewis,Dunk,Dunk,2,,83299.jpg
60,4,Solomon,March,March,3,,109345.jpg
61,4,Adam,Webster,Webster,2,,110735.jpg
62,4,Joël,Veltman,Veltman,2,,111478.jpg
63,4,Neal,Maupay,Maupay,4,,115382.jpg
64,4,Leandro,Trossard,Trossard,3,,116216.jpg
65,4,Mathew,Ryan,Ryan,1,,131897.jpg
66,4,Alireza,Jahanbakhsh,Jahanbakhsh,3,,165210.jpg
68,4,Bernardo,Fernandes Da Silva Junior,Bernardo,2,,209362.jpg
69,4,Robert,Sánchez,Sánchez,1,,215059.jpg
70,4,Yves,Bissouma,Bissouma,3,,227127.jpg
71,4,Tariq,Lamptey,Lamptey,2,,232792.jpg
72,4,Aaron,Connolly,Connolly,4,,233425.jpg
73,4,Steven,Alzate,Alzate,3,,235382.jpg
74,4,Alexis,Mac Allister,Mac Allister,3,,243016.jpg
75,4,Jakub,Moder,Moder,3,,243505.jpg
447,4,Danny,Welbeck,Welbeck,4,,50175.jpg
462,4,Enock,Mwepu,Mwepu,3,,423649.jpg
476,4,Kjell,Scherpen,Scherpen,1,,240514.jpg
500,4,Florin,Andone,Andone,4,,93284.jpg
535,4,Andi,Zeqiri,Zeqiri,4,,204676.jpg
536,4,Michal,Karbownik,Karbownik,2,,442229.jpg
537,4,Taylor,Richards,Richards,3,,209045.jpg
538,4,Moisés,Caicedo,Caicedo,3,,486672.jpg
560,4,Haydon,Roberts,Roberts,2,,433589.jpg
584,4,Marc,Cucurella,Cucurella,2,,179268.jpg
595,4,Jürgen,Locadia,Locadia,4,,106757.jpg
612,4,Jeremy,Sarmiento,Sarmiento,3,,441192.jpg
98,5,James,Tarkowski,Tarkowski,2,,17761.jpg
99,5,Phil,Bardsley,Bardsley,2,,17997.jpg
100,5,Erik,Pieters,Pieters,2,,39487.jpg
101,5,Jack,Cork,Cork,3,,40145.jpg
102,5,Dale,Stephens,Stephens,3,,40845.jpg
103,5,Kevin,Long,Long,2,,41674.jpg
104,5,Jay,Rodriguez,Rodriguez,4,,44683.jpg
105,5,Ashley,Barnes,Barnes,4,,44699.jpg
106,5,Ben,Mee,Mee,2,,51927.jpg
107,5,Ashley,Westwood,Westwood,3,,60551.jpg
108,5,Johann Berg,Gudmundsson,Gudmundsson,3,,60586.jpg
109,5,Chris,Wood,Wood,4,,60689.jpg
110,5,Matthew,Lowton,Lowton,2,,68983.jpg
111,5,Matej,Vydra,Vydra,4,,81183.jpg
112,5,Nick,Pope,Pope,1,,98747.jpg
113,5,Charlie,Taylor,Taylor,2,,103914.jpg
114,5,Will,Norris,Norris,1,,168399.jpg
115,5,Josh,Brownhill,Brownhill,3,,172782.jpg
116,5,Josh,Benson,Benson,3,,217401.jpg
117,5,Bailey,Peacock-Farrell,Peacock-Farrell,1,,220037.jpg
118,5,Dwight,McNeil,McNeil,3,,433154.jpg
451,5,Nathan,Collins,Collins,2,,432830.jpg
480,5,Wayne,Hennessey,Hennessey,1,,20066.jpg
533,5,Lewis,Richardson,Richardson,4,,461096.jpg
534,5,Bobby,Thomas,Thomas,2,,461102.jpg
