id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
529,180,0,0,0,0,1,0,1,1,0,0
539,4,0,0,0,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0,0,0,0,0
144,180,0,0,0,0,2,0,1,2,0,0
146,270,0,0,0,0,0,0,1,5,8,0
147,0,0,0,0,0,0,0,0,0,0,0
148,267,0,0,0,0,0,1,1,5,0,0
149,213,1,0,0,0,0,1,1,3,0,0
150,270,0,0,0,0,0,0,1,5,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0
153,202,0,0,0,0,0,0,0,5,0,0
154,270,0,0,0,0,0,0,1,5,0,0
155,125,0,0,0,0,0,0,1,2,0,0
156,0,0,0,0,0,0,0,0,0,0,0
157,76,0,0,0,0,0,0,0,3,0,0
158,0,0,0,0,0,0,0,0,0,0,0
159,56,0,0,0,0,0,0,0,2,0,0
160,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0
162,270,0,0,0,0,0,0,1,5,0,0
386,0,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0
474,270,1,0,0,0,0,0,1,5,0,0
477,270,0,0,0,0,0,0,1,5,0,0
488,213,1,0,0,0,0,0,1,3,0,0
493,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0
541,13,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0
163,7,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0
165,270,1,0,0,0,0,1,1,3,0,0
166,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0
168,270,1,0,0,0,0,0,1,3,0,0
169,270,0,0,0,0,0,0,1,3,0,0
170,270,1,0,0,0,0,0,1,3,7,0
171,270,0,0,0,0,0,1,1,3,0,0
172,9,0,0,0,0,0,0,0,0,0,0
173,270,2,0,0,0,1,1,1,3,0,0
174,114,0,0,0,0,0,1,0,2,0,0
175,97,1,0,0,0,0,0,0,2,0,0
176,0,0,0,0,0,0,0,0,0,0,0
177,248,0,0,0,0,3,0,1,3,0,0
